"video_id","title","description","published_at","thumbnails","tags","language","category_id","view_count","like_count","comment_count","duration","definition"
"6-F7nna6bqc","Chow Chow Kootu Recipe in Tamil","Ingredients: 1 chayote chow-chow 1/2 cup Moong dal 3 cup Water 5-6 small onion or 1/2 regular Onion 2 Garlic cloves 2 green Chillies Salt as required  For Grinding: 1/2 cup Coconut 1/2 tsp Cumin seeds 1 small onion 1 garlic clove 1/4 tsp Turmeric For Tempering: 1 tbsp Oil 1 small Onion 2 red chillies 1/2 tsp Mustard seeds Curry leaves","2025-06-25T06:03:41Z","https://i.ytimg.com/vi/6-F7nna6bqc/sddefault.jpg","","en","26","28998","1158","87","233","hd"
"oaXKYAvR_hQ","Roadside Masala Fried Rice Recipe in Tamil","In this video we will see how to make Fried Rice recipe in Tamil. Fried rice is a quick, easy, and flavorful dish that’s perfect for lunchboxes, dinners, or even as a party favorite! Made with cooked rice stir-fried in a hot wok with colorful vegetables, aromatic garlic, soy sauce, and simple seasonings, this dish is full of flavor and comes together in just minutes. It’s a great way to use up leftover rice and transform it into a delicious one-pot meal. This street-style fried rice recipe is a favorite among kids and adults alike, especially when paired with manchurian or chilli chicken. Whether you’re new to cooking or looking for a fast meal idea, this fried rice recipe is incredibly simple and satisfying. The vibrant mix of crunchy vegetables, soft rice, and bold seasoning makes it irresistible. You can also customize it by adding eggs or paneer for a protein boost. In this Tamil cooking video, we’ll walk through each step to help you get that perfect fried rice flavor at home – just like you’d enjoy from your favorite restaurant or street vendor! Friends, please do try this fried rice recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: 250g Chicken without bones 1/8 tsp Turmeric powder 1/2 tsp Chilli powder 1/2 tsp Coriander powder 1/4 tsp garam masala 1/4 tsp Pepper powder 1 tsp lemon juice salt as required 1 tbsp Corn flour 1/2 Egg 2-3 Eggs 1/4 tsp pepper Salt as required  For masala fried Rice: 2 tbsp Oil 1 tsp Ginger 1 tsp Garlic 1/2 Onion 1/2 Bell Pepper 1 Carrot 1 cup Cabbage 1/2 tsp Chilli powder 1 tsp Coriander powder 1 tsp Chicken masala or 1/2 tsp Garam masala Salt as required 1/2 tsp Pepper 1 tbsp Oil 1 cup Basmati Rice /200g (3 cup Cooked Rice) Coriander leaves","2025-06-20T05:30:24Z","https://i.ytimg.com/vi/oaXKYAvR_hQ/sddefault.jpg","vegfriedriceintamil, chinesericeintamil, tiffinrecipesintamil, quickricerecipesintamil, lunchboxrecipesintamil, easyfriedriceintamil, tamilrecipes","en","26","131173","3692","140","348","hd"
"CmzPEuY3Q3c","Healthy Sprouts Laddu Recipe in Tamil","In this video we will see how to make Healthy Sprouts Ladoo recipe in Tamil. This sprouts laddu is a unique and nutritious sweet that combines the goodness of protein-rich sprouts with the traditional taste of Indian ladoos. It’s a wholesome treat, perfect for kids, fitness enthusiasts, or anyone looking for a guilt-free dessert option. Made with sprouted green gram and naturally sweetened ingredients, this ladoo is both delicious and power-packed with nutrients. Sprouts are an excellent source of protein, fiber, and essential vitamins, making this sweet an ideal energy booster. Unlike regular sweets, this ladoo supports digestion, immunity, and overall health while satisfying your sweet cravings. Whether you're preparing snacks for school boxes or looking for a post-meal dessert that doesn't compromise on health, this sprouts laddu is the perfect choice. In this Tamil cooking video, we’ll learn how to make this easy and healthy sweet with just a few ingredients and no refined sugar. The taste is earthy and slightly nutty, complemented by mild sweetness and traditional Indian flavors. sproutsladoorecipe, healthyladoorecipeintamil, proteinladduintamil, kidshealthysnackintamil, sweetswithoutsugarintamil, sproutsrecipesintamil, ladduintamil Friends, please do try this healthy sprouts ladoo recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: Makes 9-10 medium sized ladoo 1/2 cup green gram 10-12 cashews 10-12 Almonds 1/4 cup Peanuts 3 Cardamom 2 tbsp ghee 1/4 cup Raisins 2 -3 tbsp sugar or Jaggery (optional)","2025-06-18T06:11:15Z","https://i.ytimg.com/vi/CmzPEuY3Q3c/sddefault.jpg","","en","26","79938","2522","169","299","hd"
"qLze4lc73u0","Beignets recipe in Tamil","In this video we will see how to make Beignets recipe in Tamil. These golden, fluffy beignets are the perfect treat for anyone who loves soft, pillowy pastries dusted with powdered sugar. Originally a classic French pastry and famously popular in New Orleans, this recipe brings a delicious international twist to your kitchen – all explained in Tamil for your convenience! Made with a simple yeasted dough and deep-fried to perfection, these beignets are light, airy, and irresistible. Whether you’re serving them as a tea-time snack, a weekend breakfast indulgence, or a party dessert, they are sure to be a hit with kids and adults alike. The crispy outside combined with the soft, warm inside and the snowy dusting of sugar makes every bite feel special and comforting. In this Tamil recipe video, we’ll show you how to prepare the perfect dough, achieve the ideal puff while frying, and get that classic look and taste that makes beignets so addictive. Even if you’re new to making fried dough recipes, this step-by-step tutorial will guide you with ease. beignetsrecipeintamil, frenchpastryintamil, teatimerecipeintamil, sweetrecipeintamil, doughnutalternativetamil, easydessertintamil, homemadebeignetsintamil, deepfriedpastryintamil Friends, please do try this beignets recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: 1/2 cup Luke Warm Milk (125 ml) 1 tsp Sugar 1 tsp Yeast (3 g) 1 small Egg 1/2 tsp Salt 1/4 cup Sugar (50 g) 1 tsp Vanilla extract 2 tbsp melted Butter 2+1/4 cup Maida (280g) Oil for frying powdered Sugar for coating","2025-06-13T04:52:01Z","https://i.ytimg.com/vi/qLze4lc73u0/sddefault.jpg","","en","26","84044","1821","176","295","hd"
"09qe3aggR3g","Potato Rava keerai Roti Breakfast recipe in Tamil","In this video we will see how to make Potato Rava Keerai Roti recipe in Tamil. This nutritious and delicious breakfast recipe combines the wholesomeness of potatoes, the goodness of green keerai (spinach), and the unique texture of rava (semolina) to create a soft, flavorful roti that is perfect for a healthy start to the day. Packed with fiber, iron, and energy-boosting ingredients, this roti is a great alternative to regular breakfast items and is ideal for both kids and adults. The combination of mashed potatoes and finely chopped greens gives the roti a soft and chewy texture, while the rava adds a subtle crispness that makes every bite enjoyable. It doesn’t require any side dish, as the blend of spices in the dough itself gives it enough flavor. This is a perfect lunchbox recipe as well—easy to prepare, filling, and mess-free. In this Tamil cooking video, we’ll walk you through the step-by-step process of making this tasty and healthy Potato Rava Keerai Roti using simple ingredients available in your kitchen. Whether you're looking for a quick breakfast or a wholesome evening snack, this recipe will surely become a favorite. potatorotiintamil, keerairotiintamil, ravarotiintamil, breakfastrecipeintamil, healthybreakfastintamil, tiffinrecipeintamil, rotiwithoutmaida, easyrotirecipeintamil Friends, please do try this Potato Rava Keerai Roti recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: Makes 6 : 1 large Potato (200g) 1 cup Water 1/2 tsp Cumin powder 1/2 tsp Garam masala 1/2-3/4 tsp Chilli powder 1/2 cup Rava Salt as required 1/2 Onion handful Coriander leaves 1 cup Spinach (optional) Oil for frying","2025-06-11T09:08:23Z","https://i.ytimg.com/vi/09qe3aggR3g/sddefault.jpg","","en","26","61091","1725","132","281","hd"
"xKKm4pIjitw","Roadside Mushroom Vadai recipe in Tamil","In this video we will see how to make Roadside Mushroom Vadai recipe in Tamil. This crispy and spicy mushroom vadai is a delicious twist on the classic street-style masala vadai, perfect for tea-time or as an evening snack. Loaded with the earthy flavor of mushrooms and infused with traditional South Indian spices, this vadai is crunchy on the outside and soft on the inside—just like the ones you find at roadside tea shops and stalls! Mushroom vadai is a great way to enjoy the nutritional benefits of mushrooms in a familiar and much-loved format. The taste is enhanced by finely chopped onions, green chilies, and aromatic herbs, making every bite irresistible. It’s a perfect snack during the monsoon or winter season, and pairs beautifully with coconut chutney or a hot cup of tea. In this Tamil cooking video, we’ll see how to make this flavorful roadside-style mushroom vadai easily at home, using simple ingredients. If you're a fan of street food or looking to try something different from the usual snacks, this recipe is a must-try! mushroomvadairecipe, roadsidevadaiinTamil, mushroomrecipesintamil, eveningteasnackintamil, southindianvadairecipe, crispyvadairecipeintamil, tamilnadufood Friends, please do try this roadside mushroom vadai recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: 1/4 cup Chickpea flour 1/4 cup Rice flour 1/4 cup Corn flour 1 large Onion Curry leaves Coriander leaves 2-3 Green Chilli 1/2 tsp Garam masala 1/2 tsp Pepper powder 1/2 tsp Chilli powder 1/2 cup Sweet Corn (boiled) 1/2 cup chopped Mushroom (10 mushroom) Salt as required Water as required","2025-06-06T06:44:29Z","https://i.ytimg.com/vi/xKKm4pIjitw/sddefault.jpg","","en","26","54593","1445","155","231","hd"
"qTetUTyi58Y","Cauliflower Fingers Recipe in Tamil | Cauliflower Sticks Recipe in Tamil","In this video we will see how to make Cauliflower Fingers recipe in Tamil. These crispy cauliflower fingers are a perfect snack for your evening tea or as a party appetizer! Made with fresh cauliflower florets coated in a flavorful batter and deep-fried to golden perfection, this recipe gives you the perfect crunch in every bite. The outer layer is crisp and spicy, while the inside is tender and packed with flavor. This is a great way to enjoy cauliflower in a fun and kid-friendly form. Whether you're serving them to guests or preparing them as a quick homemade snack, these cauliflower fingers are sure to be a hit with everyone. They’re also easy to customize with your favorite spices and serve with chutney, sauce, or even as a crunchy side to your main meal. #cauliflowerrecipe #appetizer #cauliflowersnacks  Friends, please do try this cauliflower fingers recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: Makes 20 cauliflower Fingers: 250g Cauliflower 1 large potato (200g) 1 small piece Ginger 2 Green Chillies handful Coriander leaves 2 tbsp Onion 1 tsp Chilli powder 1/2 tsp Garam masala 3-4 tbsp Rava 3-4 tbsp Maida required Salt For the outer coating: 1/2 cup Maida Water Salt pepper Bread crumbs","2025-06-04T05:50:56Z","https://i.ytimg.com/vi/qTetUTyi58Y/sddefault.jpg","cauliflower fry, cauliflower recipes, cauliflower fingers, cauliflower recipe in tamil, snacks in tamil, gobi recipe in tamil, fried cauliflower in tamil, evening recipes in tamil, cauliflower sticks recipe, madras samayal, snacks recipes in tamil","en","26","119613","2608","134","309","hd"
"wFf3LZDlYpY","Kaima Idli recipe in Tamil","In this video we will see how to make Kaima Idli recipe in Tamil. Kaima Idli is a delicious and spicy restaurant-style dish made by transforming leftover idlis into a flavorful snack or meal. This recipe is a popular choice at many South Indian eateries, especially in Tamil Nadu, where deep-fried idlis are tossed in a spicy masala loaded with onions, tomatoes, and aromatic spices. This dish is perfect for using up your leftover idlis in the most exciting way possible! The crispy idli pieces soak up the masala beautifully, offering a burst of flavor in every bite. It’s spicy, tangy, and slightly crunchy – a real treat for your taste buds. Whether you serve it as an evening snack or a light dinner, Kaima Idli is sure to impress both kids and adults alike. In this Tamil recipe video, I will show you step-by-step how to make the perfect Kaima Idli at home – just like you’d get at your favorite restaurant! With simple ingredients and a quick cooking process, this is an ideal recipe for busy days when you want something tasty without spending too much time in the kitchen. kaimaidlirecipeintamil, restaurantstyleidliintamil, leftoveridlirecipe, spicyidlirecipeintamil, southindiansnackintamil, easytiffinrecipeintamil, masalaidliintamil, tamilrecipes Friends, please do try this Kaima Idli recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: 5-6 leftover Idlis 2-3 tbsp Oil for frying 2-3 tbsp Oil 1/2 tsp Mustard seeds 1 tsp fennel seeds 1 large Onion 1 tsp Ginger 2 Green Chillies Curry leaves 1/4 tsp Turmeric  1 tsp Coriander powder 1 tsp Chilli powder 1 tsp Chicken masala or Garam masala 2 Tomatoes 1 tbsp Tomato sauce 1/4 cup Peas 1/4 cup Capsicum Coriander leaves for garnishing","2025-05-30T05:32:31Z","https://i.ytimg.com/vi/wFf3LZDlYpY/sddefault.jpg","","en","26","88864","2165","110","279","hd"
"3_w09_TMjLU","French crepe recipe in Tamil","In this video we will see how to make French Crepe recipe in Tamil. French crepes are soft, thin pancakes that are incredibly versatile and absolutely delicious! Whether served sweet or savory, crepes are a wonderful treat that’s perfect for breakfast, brunch, or dessert. In this recipe, we’ll be making the classic sweet version with a soft and light texture, ideal for filling with fruits, chocolate, or cream. Crepes may look fancy, but they are surprisingly simple to make with basic ingredients you likely already have at home. The batter is smooth and easy to pour, and once cooked on a hot pan, each crepe comes out thin, delicate, and perfect. These French-style crepes are sure to impress your family and are especially loved by kids for their melt-in-the-mouth feel. In this Tamil cooking video, we will guide you step-by-step on how to make perfect crepes right in your own kitchen. You can customize them with your favorite fillings — Nutella, banana, honey, jam, or even just a dusting of powdered sugar. It’s a must-try recipe if you’re looking for a quick and elegant dish that’s sure to delight! frenchcrepeintamil, creperecipeintamil, breakfastrecipeintamil, easytamilrecipe, sweetrecipeintamil, pancakerecipeintamil, crepesweetintamil Friends, please do try this French crepe recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients:  Makes 13-14 Crepes 3 large Eggs 1 cup Milk (250 ml) 1/2 cup Water 1/4 cup melted Butter (50g) 1/4 cup Sugar (50g) 1/2-1 tsp vanilla extract pinch of Salt 1 cup Maida (125 g) For the Custard Cream: 1 tsp Custard powder or Corn flour 1 cup Milk 3 tbsp Sugar 1/4 tsp Vanilla extract","2025-05-28T05:55:05Z","https://i.ytimg.com/vi/3_w09_TMjLU/sddefault.jpg","","en","26","119575","2328","248","385","hd"
"h8lMDirS6oA","Thattapayaru Kulambu Recipe | Karamami Kara Kulambu Recipe in Tamil","In this video we will see how to make Karamani Kara Kulambu recipe in Tamil. This spicy and flavorful South Indian-style kulambu is made using karamani (black-eyed peas), which adds a unique taste and hearty texture to the dish. Perfectly balanced with tanginess from tamarind and a rich blend of traditional spices, this kulambu is the ultimate comfort food that goes wonderfully with hot steamed rice and a spoonful of ghee. Karamani Kara Kulambu is a great everyday kuzhambu that is both nutritious and filling. Black-eyed peas are rich in protein and fiber, making this a wholesome vegetarian option for lunch or dinner. The freshly ground masala, when slow-cooked with tamarind and karamani, gives a bold and aromatic flavor that’s simply irresistible. It's especially comforting on rainy days or when you’re craving a spicy and homely meal. #karamanikarakulambu #kulambuvarietiesintamil #kulamburecipe  Friends, please do try this karamani kara kulambu recipe at home and share it with your friends and family. Also, please do share your feedback about the recipe in the comments below. All the best and happy cooking! Ingredients: 1/2 cup Black eyed peas (Thattapayaru / Karamani) 1-1.25 cup Water Salt For the Masala Base: 2 tbsp Oil 1 tsp Cumin seeds 1/2 tsp Pepper corns 4 Garlic 5 small Onion 1 Tomato 1/8 tsp Turmeric 1.5 tbsp Coriander powder 1.5 tsp Chilli powder 1/4 cup grated Coconut For the Thatta payaru Kulambu: 4 tbsp Oil 1/2 tsp Mustard seeds 10-12 Fenugreek 1 dried Red Chilli 1/4 tsp Asafoetida 7-8 Garlic cloves 10 Small Onion Curry leaves 2 Brinjal 1 Potato 1 Lemon sized Tamarind soaked in Water Water as required Salt as required","2025-05-23T05:30:19Z","https://i.ytimg.com/vi/h8lMDirS6oA/sddefault.jpg","karamani kara kulambu recipe, karamani kulambu in tamil, kara kulambu in tamil, tamil south indian recipes, veg kulambu recipe, traditional tamil side dish, tamil kara kulambu, kulambu varieties, kulambu vagaigal, madras samayal","en","26","98935","2054","142","288","hd"
